last_name,first_name,full_name,party,state,edu_college,edu_med,edu_law,edu_masters,edu_doctorate,work_bluecollar,work_business,work_education,work_farming,work_lawenforcement,work_lobbying,work_media,work_medicine,work_military,work_nonprofits,work_privatelaw,work_realestate,work_religiousleader,work_science,work_sports,gov_fedstate,gov_local,gov_none,gov_publiclawyerjudge,gov_stateleg
Latta,Robert E.,Robert E. Latta,,OH,public,,1,,,,,,,,,,,,,1,,,,,,1,,,1
Kelly,Robin L.,Robin L. Kelly,,IL,private,,,1,1,,,,,,,,,,,,,,,,,1,,,1
Davis,Rodney,Rodney Davis,,IL,private,,,,,,,,,,,,,,,,,,,,,,1,,
Marshall,Roger W.,Roger W. Marshall,,KS,public,1,,,,,,,,,,,1,1,,,,,,,1,,,,
Williams,Roger,Roger Williams,,TX,private,,,,,,1,,,,,,,,,,,,,1,1,,,,
Estes,Ron,Ron Estes,,KS,public,,,1,,,1,,1,,,,,,,,,,,,1,1,,,
Kind,Ron,Ron Kind,,WI,elite,,1,1,,,,,,,,,,,,1,,,,,,,,1,
Wright,Ron,Ron Wright,Republican,TX,none,,,,,,1,,,,,1,,,,,,,,,,1,,,
DeLauro,Rosa L.,Rosa L. DeLauro,,CT,private,,,1,,,,,,,1,,,,,,,,,,,,1,,
Spano,Ross,Ross Spano,Republican,FL,public,,1,,,,,,,,,,,,,1,,,,,,,,,1
Gallego,Ruben ,Ruben Gallego,,AZ,elite,,,,,,1,,,,,,,1,,,,,,,,,,,1
Fulcher,Russ,Russ Fulcher,Republican,ID,public,,,1,,,1,,,,,,,,,,1,,,,,,,,1
Carbajal,Salud,Salud Carbajal,,CA,public,,,1,,,,,,,,,,1,,,,,,,,1,,,
Graves,Sam,Sam Graves,,MO,public,,,,,,,,1,,,,,,,,,,,,,,,,1
Bishop Jr.,Sanford D.,Sanford D. Bishop Jr.,,GA,private,,1,,,,,,,,,,,1,,1,,,,,,,,,1
DesJarlais,Scott,Scott DesJarlais,,TN,public,1,,,,,,,,,,,1,,,,,,,,,,1,,
Perry,Scott,Scott Perry,,PA,public,,,,,1,1,,,,,,,1,,,,,,,,,,,1
Peters,Scott,Scott Peters,,CA,elite,,1,,,,,,,,,,,,,1,,,,,1,1,,1,
Tipton,Scott R.,Scott R. Tipton,,CO,public,,,,,,1,,,,,,,,,,,,,,,,,,1
Casten,Sean,Sean Casten,Democrat,IL,private,,,1,,,1,,,,,,,,,,,,1,,,,1,,
Duffy,Sean P.,Sean P. Duffy,,WI,private,,1,,,,,,,,,,,,,1,,,,1,,,,1,
Maloney,Sean Patrick,Sean Patrick Maloney,,NY,public,,1,,,,1,,,,,,,,,1,,,,,,,1,,
Moulton,Seth,Seth Moulton,,MA,elite,,,1,,,1,,,,,,,1,,,,,,,,,1,,
Davids,Sharice,Sharice Davids,Democrat,KS,public,,1,,,,1,,,,,,,,1,1,,,,1,,,1,,
Jackson Lee,Sheila,Sheila Jackson Lee,,TX,elite,,1,,,,,,,,,,,,,1,,,,,,1,,1,
Hoyer,Steny H.,Steny H. Hoyer,,MD,public,,1,,,,,,,,,,,,,1,,,,,1,,,,1
Murphy,Stephanie,Stephanie Murphy,,FL,public,,,1,,,1,1,,,,,,,,,,,,,,,1,,
Lynch,Stephen F.,Stephen F. Lynch,,MA,private,,1,1,,1,,,,,,,,,1,1,,,,,,,,,1
Chabot,Steve,Steve Chabot,,OH,public,,1,,,,,1,,,,,,,,1,,,,,,1,,,
Cohen,Steve,Steve Cohen,,TN,private,,1,,,,,,,,,,,,,1,,,,,,1,,1,1
King,Steve,Steve King,,IA,none,,,,,,1,,,,,,,,,,,,,,,,,,1
Scalise,Steve,Steve Scalise,,LA,public,,,,,,1,,,,,,,,,,,,1,,,,,,1
Stivers,Steve,Steve Stivers,,OH,public,,,1,,,1,,,,1,,,1,,,,,,,,,,,1
Watkins,Steve,Steve Watkins,Republican,KS,public,,,1,,,1,,,,,,,1,,,,,,,,,1,,
Womack,Steve ,Steve Womack,,AR,public,,,,,,,,,,,1,,1,,,,,,,,1,,,
Horsford,Steven,Steven Horsford,Democrat,NV,public,,,,,,1,,,,,,,,1,,,,,,,,,,1
Palazzo,Steven M.,Steven M. Palazzo,,MS,public,,,1,,,1,,,,,,,1,,,,,,,,,,,1
Davis,Susan A.,Susan A. Davis,,CA,public,,,1,,,,,,,,1,,,1,,,,,,,1,,,1
Brooks,Susan W.,Susan W. Brooks,,IN,public,,1,,,,,,,,,,,,,1,,,,,,1,,1,
Wild,Susan,Susan Wild,Democrat,PA,private,,1,,,,,,,,,,,,,1,,,,,,,,1,
Lee,Susie,Susie Lee,Democrat,NV,private,,,1,,,,,,,,,,,1,,,,,,,,1,,
DelBene,Suzan,Suzan DelBene,,WA,private,,,1,,,1,,,,,,,,,,,,,,1,,,,
Bonamici,Suzanne,Suzanne Bonamici,,OR,public,,1,,,,,,,,,,,,,1,,,,,,,,1,1
Garcia,Sylvia,Sylvia Garcia,Democrat,TX,public,,1,,,,,,,,,,,,1,,,,,,,1,,1,1
Cox,T.J.,T.J. Cox,Democrat,CA,public,,,1,,,1,,,,,,,,,,,,1,,,,1,,
Budd,Ted,Ted Budd,,NC,public,,,1,,,1,,,,,,,,,,,,,,,,1,,
Deutch,Ted,Ted Deutch,,FL,public,,1,,,,,,,,,,,,,1,,,,,,,,,1
Lieu,Ted,Ted Lieu,,CA,elite,,1,,,,,,,,,,,1,,1,,,,,,1,,,1
Yoho,Ted,Ted Yoho,,FL,public,1,,,,,,,,,,,1,,,,,,,,,,1,,
Sewell,Terri ,Terri Sewell,,AL,elite,,1,1,,,,,,,,,,,,1,,,,,,,1,,
Massie,Thomas,Thomas Massie,,KY,elite,,,1,,,1,,1,,,,,,,,,,,,,1,,,
Suozzi,Thomas R.,Thomas R. Suozzi,,NY,private,,1,,,,,,,,,,,,,1,,,,,,1,,,
Burchett,Tim,Tim Burchett,Republican,TN,public,,,,,,1,,,,,,,,,,,,,,,1,,,1
Ryan,Tim,Tim Ryan,,OH,public,,1,,,,,,,,,,,,,,,,,,,,,,1
Walberg,Tim,Tim Walberg,,MI,private,,,1,,,,,,,,,,,1,,,1,,,,,,,1
Cole,Tom,Tom Cole,,OK,private,,,1,1,,1,1,,,,,,,,,,,,,1,,,,1
Emmer,Tom,Tom Emmer,,MN,public,,1,,,,,,,,1,1,,,,1,,,,,,1,,,1
Graves,Tom,Tom Graves,,GA,public,,,,,,1,,,,,,,,,,1,,,,,1,,,1
Malinowski,Tom,Tom Malinowski,Democrat,NJ,public,,,1,,,,,,,,,,,1,,,,,,1,,,,
Marino,Tom,Tom Marino,,PA,private,,1,,,1,1,,,,,,,,,1,,,,,,,,1,
McClintock,Tom,Tom McClintock,,CA,public,,,,,,,,,,,1,,,,,,,,,,,,,1
O'Halleran,Tom ,Tom O'Halleran,,AZ,none,,,,,,1,,,1,,,,,,,,,,,,,,,1
Reed,Tom,Tom Reed,,NY,private,,1,,,,1,,,,,,,,,1,1,,,,,1,,,
